,short_title,url,datetime_local,popularity,score,venue_name,venue_extended_address,stats_listing_count,stats_average_price,stats_lowest_price_good_deals,stats_lowest_price,stats_highest_price,event_promotion
66,Chicago (Musical) - New York,https://seatgeek.com/chicago-musical-new-york-tickets/ambassador-theatre-2021-11-18-8-pm/broadway/5351349,2021-11-18T20:00:00,0.581,0.39,Ambassador Theatre,"New York, NY 10019",44.0,375.0,141.0,123.0,580.0,
67,David Byrne's American Utopia,https://seatgeek.com/david-byrnes-american-utopia-tickets/st-james-theatre-2021-11-18-8-pm/broadway/5424283,2021-11-18T20:00:00,0.819,0.676,St. James Theatre,"New York, NY 10036",133.0,159.0,68.0,68.0,269.0,
68,Is This A Room - New York,https://seatgeek.com/is-this-a-room-new-york-tickets/lyceum-theatre-2021-11-18-8-pm/broadway/5539236,2021-11-18T20:00:00,0.567,0.354,Lyceum Theatre,"New York, NY 10036",12.0,191.0,120.0,120.0,229.0,
69,Six the Musical - New York,https://seatgeek.com/six-the-musical-new-york-tickets/brooks-atkinson-theatre-2021-11-18-8-pm/broadway/5484353,2021-11-18T20:00:00,0.625,0.439,Brooks Atkinson Theatre,"New York, NY 10036",78.0,933.0,338.0,236.0,1870.0,
70,Company - New York,https://seatgeek.com/company-new-york-tickets/bernard-b-jacobs-theatre-2021-11-18-8-pm/broadway/5501172,2021-11-18T20:00:00,0.544,0.339,Bernard B. Jacobs Theatre,"New York, NY 10036",51.0,888.0,601.0,286.0,1314.0,
71,The Lion King - New York,https://seatgeek.com/the-lion-king-new-york-tickets/minskoff-theatre-2021-11-18-8-pm/broadway/5315511,2021-11-18T20:00:00,0.606,0.445,Minskoff Theatre,"New York, NY 10036",98.0,453.0,157.0,157.0,1136.0,
72,Mrs. Doubtfire - New York,https://seatgeek.com/mrs-doubtfire-new-york-tickets/stephen-sondheim-theatre-2021-11-18-8-pm/broadway/5409774,2021-11-18T20:00:00,0.558,0.361,Stephen Sondheim Theatre,"New York, NY 10036",65.0,748.0,130.0,130.0,1497.0,
73,Flying Over Sunset - New York,https://seatgeek.com/flying-over-sunset-new-york-tickets/lincoln-center-theater-vivian-beaumont-2021-11-18-8-pm/broadway/5529721,2021-11-18T20:00:00,0.584,0.378,Lincoln Center Theater-Vivian Beaumont,"New York, NY 10023",71.0,633.0,168.0,164.0,1184.0,
74,Radio City Christmas Spectacular - New York,https://seatgeek.com/radio-city-christmas-spectacular-new-york-tickets/radio-city-music-hall-2021-11-19-2-pm/broadway/5331315,2021-11-19T14:00:00,0.677,0.536,Radio City Music Hall,"New York, NY 10020",361.0,421.0,97.0,97.0,1249.0,
75,The Office! A Musical Parody - New York,https://seatgeek.com/the-office-a-musical-parody-new-york-tickets/the-theater-center-1-2021-11-19-7-pm/broadway/5521697,2021-11-19T19:00:00,0.544,0.344,The Theater Center,"New York, NY 10019",9.0,91.0,,63.0,152.0,
76,The Lehman Trilogy - New York,https://seatgeek.com/the-lehman-trilogy-new-york-tickets/nederlander-theatre-2021-11-19-7-pm/broadway/5418139,2021-11-19T19:00:00,0.573,0.388,Nederlander Theatre,"New York, NY 10036",89.0,750.0,93.0,92.0,2165.0,
77,To Kill a Mockingbird - New York,https://seatgeek.com/to-kill-a-mockingbird-new-york-tickets/shubert-theatre-1-2021-11-19-7-pm/broadway/5421786,2021-11-19T19:00:00,0.594,0.412,Shubert Theatre,"New York, NY 10036",79.0,993.0,110.0,104.0,2144.0,
78,Come From Away - New York,https://seatgeek.com/come-from-away-new-york-tickets/gerald-schoenfeld-theatre-2021-11-19-7-pm/broadway/5401819,2021-11-19T19:00:00,0.609,0.442,Gerald Schoenfeld Theatre,"New York, NY 10036",86.0,459.0,132.0,132.0,987.0,
79,Company - New York,https://seatgeek.com/company-new-york-tickets/bernard-b-jacobs-theatre-2021-11-19-8-pm/broadway/5501173,2021-11-19T20:00:00,0.528,0.328,Bernard B. Jacobs Theatre,"New York, NY 10036",63.0,804.0,380.0,207.0,1281.0,
80,Is This A Room - New York,https://seatgeek.com/is-this-a-room-new-york-tickets/lyceum-theatre-2021-11-19-8-pm/broadway/5539237,2021-11-19T20:00:00,0.551,0.344,Lyceum Theatre,"New York, NY 10036",12.0,187.0,157.0,120.0,229.0,
81,Little Shop of Horrors - New York,https://seatgeek.com/little-shop-of-horrors-new-york-tickets/westside-theatre-upstairs-1-2021-11-19-8-pm/broadway/5406241,2021-11-19T20:00:00,0.723,0.589,Westside Theatre Upstairs,"New York, NY 10036",4.0,302.0,231.0,231.0,380.0,
82,TINA - The Tina Turner Musical - New York,https://seatgeek.com/tina-the-tina-turner-musical-new-york-tickets/lunt-fontanne-theatre-2021-11-19-8-pm/broadway/5406869,2021-11-19T20:00:00,0.568,0.382,Lunt-Fontanne Theatre,"New York, NY 10036",122.0,541.0,161.0,161.0,1299.0,
83,"Caroline, or Change - New York",https://seatgeek.com/caroline-or-change-new-york-tickets/studio-54-2021-11-19-8-pm/broadway/5485135,2021-11-19T20:00:00,0.565,0.367,Studio 54,"New York, NY 10019",60.0,567.0,144.0,138.0,1314.0,
84,Perfect Crime - New York,https://seatgeek.com/perfect-crime-new-york-tickets/the-theater-center-1-2021-11-19-8-pm/broadway/5520850,2021-11-19T20:00:00,0.546,0.344,The Theater Center,"New York, NY 10019",3.0,102.0,69.0,69.0,130.0,
85,Wicked - New York,https://seatgeek.com/wicked-new-york-tickets/gershwin-theatre-2021-11-19-8-pm/broadway/5405230,2021-11-19T20:00:00,0.613,0.464,Gershwin Theatre,"New York, NY 10019",150.0,446.0,160.0,160.0,922.0,
86,Six the Musical - New York,https://seatgeek.com/six-the-musical-new-york-tickets/brooks-atkinson-theatre-2021-11-19-8-pm/broadway/5484354,2021-11-19T20:00:00,0.597,0.408,Brooks Atkinson Theatre,"New York, NY 10036",90.0,1050.0,493.0,324.0,1870.0,
87,Jagged Little Pill - New York,https://seatgeek.com/jagged-little-pill-new-york-tickets/broadhurst-theatre-2021-11-19-8-pm/broadway/5351764,2021-11-19T20:00:00,0.572,0.395,Broadhurst Theatre,"New York, NY 10036",97.0,555.0,119.0,119.0,1347.0,
88,Mrs. Doubtfire - New York,https://seatgeek.com/mrs-doubtfire-new-york-tickets/stephen-sondheim-theatre-2021-11-19-8-pm/broadway/5409715,2021-11-19T20:00:00,0.566,0.38,Stephen Sondheim Theatre,"New York, NY 10036",62.0,783.0,133.0,133.0,1576.0,
89,Chicago (Musical) - New York,https://seatgeek.com/chicago-musical-new-york-tickets/ambassador-theatre-2021-11-19-8-pm/broadway/5351373,2021-11-19T20:00:00,0.575,0.392,Ambassador Theatre,"New York, NY 10019",61.0,333.0,113.0,113.0,595.0,
90,Radio City Christmas Spectacular - New York,https://seatgeek.com/radio-city-christmas-spectacular-new-york-tickets/radio-city-music-hall-2021-11-19-8-pm/broadway/5331308,2021-11-19T20:00:00,0.655,0.507,Radio City Music Hall,"New York, NY 10020",390.0,432.0,95.0,95.0,1622.0,
91,The Lion King - New York,https://seatgeek.com/the-lion-king-new-york-tickets/minskoff-theatre-2021-11-19-8-pm/broadway/5315510,2021-11-19T20:00:00,0.616,0.467,Minskoff Theatre,"New York, NY 10036",103.0,484.0,141.0,141.0,1136.0,
92,Flying Over Sunset - New York,https://seatgeek.com/flying-over-sunset-new-york-tickets/lincoln-center-theater-vivian-beaumont-2021-11-19-8-pm/broadway/5529722,2021-11-19T20:00:00,0.579,0.38,Lincoln Center Theater-Vivian Beaumont,"New York, NY 10023",88.0,627.0,160.0,160.0,1154.0,
93,Blue Man Group - New York,https://seatgeek.com/blue-man-group-new-york-tickets/astor-place-2021-11-19-8-pm/broadway/5513461,2021-11-19T20:00:00,0.6,0.411,Astor Place,"New York, NY 10003",17.0,199.0,,119.0,680.0,
94,Hadestown,https://seatgeek.com/hadestown-tickets/walter-kerr-theatre-2021-11-19-8-pm/broadway/5383419,2021-11-19T20:00:00,0.806,0.676,Walter Kerr Theatre,"New York, NY 10036",12.0,278.0,216.0,216.0,321.0,
95,Girl From The North Country - New York,https://seatgeek.com/girl-from-the-north-country-new-york-tickets/belasco-theatre-2021-11-19-8-pm/broadway/5414332,2021-11-19T20:00:00,0.561,0.372,Belasco Theatre,"New York, NY 10036",83.0,638.0,133.0,133.0,1473.0,
96,Clyde's - New York,https://seatgeek.com/clydes-new-york-tickets/helen-hayes-theatre-2021-11-19-8-pm/broadway/5539102,2021-11-19T20:00:00,0.575,0.375,Helen Hayes Theatre,"New York, NY 10036",20.0,1013.0,627.0,627.0,1409.0,
97,Waitress - New York,https://seatgeek.com/waitress-new-york-tickets/barrymore-theatre-2021-11-19-8-pm/broadway/5447020,2021-11-19T20:00:00,0.617,0.438,Barrymore Theatre,"New York, NY 10036",90.0,411.0,150.0,150.0,692.0,
98,Aladdin - New York,https://seatgeek.com/aladdin-new-york-tickets/new-amsterdam-theatre-2021-11-19-8-pm/broadway/5315322,2021-11-19T20:00:00,0.662,0.531,New Amsterdam Theatre,"New York, NY 10036",126.0,435.0,117.0,114.0,1138.0,
99,The Book of Mormon,https://seatgeek.com/the-book-of-mormon-tickets/eugene-o-neill-theatre-2021-11-19-8-pm/broadway/5424194,2021-11-19T20:00:00,0.773,0.648,Eugene O'Neill Theatre,"New York, NY 10019",42.0,159.0,110.0,110.0,270.0,
100,Jersey Boys - New York,https://seatgeek.com/jersey-boys-new-york-tickets/new-world-stages-2021-11-19-8-pm/broadway/5398761,2021-11-19T20:00:00,0.571,0.386,New World Stages,"New York, NY 10019",26.0,388.0,,158.0,791.0,
101,Chicken and Biscuits - New York,https://seatgeek.com/chicken-and-biscuits-new-york-tickets/circle-in-the-square-theatre-2021-11-19-8-pm/broadway/5529663,2021-11-19T20:00:00,0.563,0.36,Circle In The Square Theatre,"New York, NY 10019",27.0,465.0,199.0,199.0,660.0,
102,David Byrne's American Utopia,https://seatgeek.com/david-byrnes-american-utopia-tickets/st-james-theatre-2021-11-19-8-pm/broadway/5424317,2021-11-19T20:00:00,0.813,0.676,St. James Theatre,"New York, NY 10036",137.0,172.0,68.0,68.0,321.0,
103,Radio City Christmas Spectacular - New York,https://seatgeek.com/radio-city-christmas-spectacular-new-york-tickets/radio-city-music-hall-2021-11-20-11-am/broadway/5331278,2021-11-20T11:00:00,0.647,0.501,Radio City Music Hall,"New York, NY 10020",247.0,246.0,97.0,97.0,2212.0,
104,The Lehman Trilogy - New York,https://seatgeek.com/the-lehman-trilogy-new-york-tickets/nederlander-theatre-2021-11-20-1-pm/broadway/5418121,2021-11-20T13:00:00,0.56,0.376,Nederlander Theatre,"New York, NY 10036",86.0,761.0,92.0,92.0,2165.0,
105,To Kill a Mockingbird - New York,https://seatgeek.com/to-kill-a-mockingbird-new-york-tickets/shubert-theatre-1-2021-11-20-1-pm/broadway/5421784,2021-11-20T13:00:00,0.575,0.391,Shubert Theatre,"New York, NY 10036",81.0,964.0,133.0,117.0,2144.0,
106,Come From Away - New York,https://seatgeek.com/come-from-away-new-york-tickets/gerald-schoenfeld-theatre-2021-11-20-1-pm/broadway/5401818,2021-11-20T13:00:00,0.666,0.517,Gerald Schoenfeld Theatre,"New York, NY 10036",70.0,537.0,160.0,160.0,987.0,
107,TINA - The Tina Turner Musical - New York,https://seatgeek.com/tina-the-tina-turner-musical-new-york-tickets/lunt-fontanne-theatre-2021-11-20-2-pm/broadway/5406880,2021-11-20T14:00:00,0.57,0.394,Lunt-Fontanne Theatre,"New York, NY 10036",153.0,569.0,168.0,160.0,1543.0,
108,Girl From The North Country - New York,https://seatgeek.com/girl-from-the-north-country-new-york-tickets/belasco-theatre-2021-11-20-2-pm/broadway/5414212,2021-11-20T14:00:00,0.537,0.35,Belasco Theatre,"New York, NY 10036",41.0,502.0,133.0,133.0,809.0,
109,Chicken and Biscuits - New York,https://seatgeek.com/chicken-and-biscuits-new-york-tickets/circle-in-the-square-theatre-2021-11-20-2-pm/broadway/5529664,2021-11-20T14:00:00,0.542,0.34,Circle In The Square Theatre,"New York, NY 10019",31.0,417.0,168.0,168.0,643.0,
110,Jagged Little Pill - New York,https://seatgeek.com/jagged-little-pill-new-york-tickets/broadhurst-theatre-2021-11-20-2-pm/broadway/5351766,2021-11-20T14:00:00,0.525,0.34,Broadhurst Theatre,"New York, NY 10036",83.0,595.0,119.0,119.0,1347.0,
111,The Office! A Musical Parody - New York,https://seatgeek.com/the-office-a-musical-parody-new-york-tickets/the-theater-center-1-2021-11-20-2-pm/broadway/5521695,2021-11-20T14:00:00,0.532,0.332,The Theater Center,"New York, NY 10019",8.0,95.0,,63.0,155.0,
112,The Lion King - New York,https://seatgeek.com/the-lion-king-new-york-tickets/minskoff-theatre-2021-11-20-2-pm/broadway/5315515,2021-11-20T14:00:00,0.629,0.491,Minskoff Theatre,"New York, NY 10036",94.0,523.0,134.0,134.0,1136.0,
113,Perfect Crime - New York,https://seatgeek.com/perfect-crime-new-york-tickets/the-theater-center-1-2021-11-20-2-pm/broadway/5520844,2021-11-20T14:00:00,0.532,0.332,The Theater Center,"New York, NY 10019",3.0,98.0,68.0,68.0,124.0,
114,Waitress - New York,https://seatgeek.com/waitress-new-york-tickets/barrymore-theatre-2021-11-20-2-pm/broadway/5447019,2021-11-20T14:00:00,0.6,0.422,Barrymore Theatre,"New York, NY 10036",66.0,482.0,304.0,286.0,692.0,
115,Jersey Boys - New York,https://seatgeek.com/jersey-boys-new-york-tickets/new-world-stages-2021-11-20-2-pm/broadway/5398760,2021-11-20T14:00:00,0.576,0.401,New World Stages,"New York, NY 10019",16.0,580.0,,388.0,791.0,
116,Hadestown,https://seatgeek.com/hadestown-tickets/walter-kerr-theatre-2021-11-20-2-pm/broadway/5383421,2021-11-20T14:00:00,0.8,0.676,Walter Kerr Theatre,"New York, NY 10036",8.0,239.0,269.0,142.0,269.0,
117,Mrs. Doubtfire - New York,https://seatgeek.com/mrs-doubtfire-new-york-tickets/stephen-sondheim-theatre-2021-11-20-2-pm/broadway/5409709,2021-11-20T14:00:00,0.565,0.387,Stephen Sondheim Theatre,"New York, NY 10036",53.0,906.0,285.0,285.0,1576.0,
118,Clyde's - New York,https://seatgeek.com/clydes-new-york-tickets/helen-hayes-theatre-2021-11-20-2-pm/broadway/5539104,2021-11-20T14:00:00,0.559,0.361,Helen Hayes Theatre,"New York, NY 10036",20.0,1013.0,627.0,627.0,1409.0,
119,Radio City Christmas Spectacular - New York,https://seatgeek.com/radio-city-christmas-spectacular-new-york-tickets/radio-city-music-hall-2021-11-20-2-pm/broadway/5331337,2021-11-20T14:00:00,0.681,0.549,Radio City Music Hall,"New York, NY 10020",216.0,296.0,118.0,118.0,1855.0,
120,Aladdin - New York,https://seatgeek.com/aladdin-new-york-tickets/new-amsterdam-theatre-2021-11-20-2-pm/broadway/5315324,2021-11-20T14:00:00,0.662,0.537,New Amsterdam Theatre,"New York, NY 10036",114.0,440.0,126.0,105.0,752.0,
121,Wicked - New York,https://seatgeek.com/wicked-new-york-tickets/gershwin-theatre-2021-11-20-2-pm/broadway/5405229,2021-11-20T14:00:00,0.616,0.47,Gershwin Theatre,"New York, NY 10019",128.0,467.0,168.0,168.0,922.0,
122,"Caroline, or Change - New York",https://seatgeek.com/caroline-or-change-new-york-tickets/studio-54-2021-11-20-2-pm/broadway/5485134,2021-11-20T14:00:00,0.546,0.35,Studio 54,"New York, NY 10019",43.0,601.0,140.0,135.0,1314.0,
123,Flying Over Sunset - New York,https://seatgeek.com/flying-over-sunset-new-york-tickets/lincoln-center-theater-vivian-beaumont-2021-11-20-2-pm/broadway/5529723,2021-11-20T14:00:00,0.563,0.366,Lincoln Center Theater-Vivian Beaumont,"New York, NY 10023",74.0,643.0,180.0,164.0,1184.0,
124,Blue Man Group - New York,https://seatgeek.com/blue-man-group-new-york-tickets/astor-place-2021-11-20-2-pm/broadway/5513482,2021-11-20T14:00:00,0.603,0.422,Astor Place,"New York, NY 10003",11.0,210.0,,122.0,663.0,
125,The Book of Mormon,https://seatgeek.com/the-book-of-mormon-tickets/eugene-o-neill-theatre-2021-11-20-2-pm/broadway/5424196,2021-11-20T14:00:00,0.77,0.648,Eugene O'Neill Theatre,"New York, NY 10019",29.0,141.0,110.0,110.0,185.0,
126,Chicago (Musical) - New York,https://seatgeek.com/chicago-musical-new-york-tickets/ambassador-theatre-2021-11-20-2-30-pm/broadway/5351345,2021-11-20T14:30:00,0.558,0.38,Ambassador Theatre,"New York, NY 10019",66.0,311.0,135.0,108.0,602.0,
127,Six the Musical - New York,https://seatgeek.com/six-the-musical-new-york-tickets/brooks-atkinson-theatre-2021-11-20-3-pm/broadway/5484355,2021-11-20T15:00:00,0.587,0.403,Brooks Atkinson Theatre,"New York, NY 10036",101.0,1235.0,247.0,247.0,11607.0,
128,Blue Man Group - New York,https://seatgeek.com/blue-man-group-new-york-tickets/astor-place-2021-11-20-5-pm/broadway/5513464,2021-11-20T17:00:00,0.605,0.422,Astor Place,"New York, NY 10003",10.0,353.0,,131.0,680.0,
129,David Byrne's American Utopia,https://seatgeek.com/david-byrnes-american-utopia-tickets/st-james-theatre-2021-11-20-5-pm/broadway/5424339,2021-11-20T17:00:00,0.81,0.676,St. James Theatre,"New York, NY 10036",120.0,187.0,68.0,68.0,374.0,
130,Radio City Christmas Spectacular - New York,https://seatgeek.com/radio-city-christmas-spectacular-new-york-tickets/radio-city-music-hall-2021-11-20-5-pm/broadway/5331233,2021-11-20T17:00:00,0.687,0.552,Radio City Music Hall,"New York, NY 10020",286.0,219.0,78.0,78.0,1698.0,
131,To Kill a Mockingbird - New York,https://seatgeek.com/to-kill-a-mockingbird-new-york-tickets/shubert-theatre-1-2021-11-20-7-pm/broadway/5421788,2021-11-20T19:00:00,0.592,0.415,Shubert Theatre,"New York, NY 10036",76.0,1055.0,150.0,150.0,2144.0,
